dataset: /home/tud/OCUDU/datasets/E005-trial/20260722_1542_E005-trial.jsonl

user 0: 19392 samples, 831 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
  760 0x4620     1   -40.7/ -40.7   -40.7/ -40.7   -39.4/ -39.4   -42.1/ -42.1
  761 0x4621     1   -35.6/ -35.6   -36.4/ -36.4   -36.1/ -36.1   -35.9/ -35.9
  762 0x4620     1   -41.9/ -41.9   -40.8/ -40.8   -41.5/ -41.5   -40.9/ -40.9
  763 0x4621     1   -37.4/ -37.4   -37.1/ -37.1   -35.7/ -35.7   -36.8/ -36.8
  764 0x4620     1   -41.5/ -41.5   -41.0/ -41.0   -41.2/ -41.2   -40.4/ -40.4
  765 0x4621     1   -36.8/ -36.8   -36.2/ -36.2   -34.6/ -34.6   -37.6/ -37.6
  766 0x4620     1   -41.6/ -41.6   -41.2/ -41.2   -39.9/ -39.9   -40.5/ -40.5
  767 0x4621     1   -37.6/ -37.6   -36.7/ -36.7   -37.4/ -37.4   -38.1/ -38.1
  768 0x4620     1   -41.1/ -41.1   -41.3/ -41.3   -40.7/ -40.7   -41.1/ -41.1
  769 0x4621     1   -36.8/ -36.8   -36.4/ -36.4   -37.8/ -37.8   -37.3/ -37.3
  770 0x4620     1   -41.1/ -41.1   -40.9/ -40.9   -40.7/ -40.7   -41.4/ -41.4
  771 0x4621     1   -37.8/ -37.8   -37.7/ -37.7   -35.5/ -35.5   -37.5/ -37.5
  772 0x4620     1   -40.8/ -40.8   -41.9/ -41.9   -40.4/ -40.4   -41.6/ -41.6
  773 0x4621     1   -37.5/ -37.5   -36.0/ -36.0   -35.8/ -35.8   -36.5/ -36.5
  774 0x4620     1   -40.4/ -40.4   -40.7/ -40.7   -40.4/ -40.4   -40.6/ -40.6
  775 0x4621     1   -36.9/ -36.9   -36.9/ -36.9   -36.9/ -36.9   -37.5/ -37.5
  776 0x4620     1   -41.6/ -41.6   -41.1/ -41.1   -40.0/ -40.0   -41.3/ -41.3
  777 0x4621     1   -38.1/ -38.1   -37.0/ -37.0   -36.1/ -36.1   -37.8/ -37.8
  778 0x4620     1   -41.3/ -41.3   -41.0/ -41.0   -41.2/ -41.2   -40.0/ -40.0
  779 0x4621     1   -37.1/ -37.1   -38.1/ -38.1   -36.6/ -36.6   -37.2/ -37.2
  780 0x4620     1   -41.5/ -41.5   -40.2/ -40.2   -40.5/ -40.5   -40.5/ -40.5
  781 0x4621     1   -37.7/ -37.7   -37.6/ -37.6   -37.2/ -37.2   -37.0/ -37.0
  782 0x4620     1   -42.2/ -42.2   -40.5/ -40.5   -40.6/ -40.6   -41.4/ -41.4
  783 0x4621     1   -37.7/ -37.7   -36.8/ -36.8   -35.8/ -35.8   -36.6/ -36.6
  784 0x4620     1   -41.2/ -41.2   -41.1/ -41.1   -40.7/ -40.7   -41.5/ -41.5
  785 0x4621     1   -37.6/ -37.6   -37.3/ -37.3   -36.2/ -36.2   -36.9/ -36.9
  786 0x4620     1   -41.7/ -41.7   -40.9/ -40.9   -41.5/ -41.5   -41.3/ -41.3
  787 0x4621     1   -37.3/ -37.3   -37.4/ -37.4   -36.9/ -36.9   -36.2/ -36.2
  788 0x4620     1   -40.6/ -40.6   -40.4/ -40.4   -40.2/ -40.2   -41.2/ -41.2
  789 0x4621     1   -36.9/ -36.9   -37.1/ -37.1   -36.5/ -36.5   -35.3/ -35.3
  790 0x4620     1   -41.0/ -41.0   -40.6/ -40.6   -41.8/ -41.8   -41.0/ -41.0
  791 0x4621     1   -37.8/ -37.8   -36.6/ -36.6   -37.0/ -37.0   -37.9/ -37.9
  792 0x4620     1   -40.6/ -40.6   -40.8/ -40.8   -40.2/ -40.2   -41.2/ -41.2
  793 0x4621     1   -36.4/ -36.4   -37.6/ -37.6   -36.8/ -36.8   -36.3/ -36.3
  794 0x4620     1   -41.5/ -41.5   -41.1/ -41.1   -40.0/ -40.0   -41.4/ -41.4
  795 0x4621     1   -36.8/ -36.8   -37.1/ -37.1   -35.7/ -35.7   -36.3/ -36.3
  796 0x4620     1   -40.6/ -40.6   -41.2/ -41.2   -40.5/ -40.5   -42.0/ -42.0
  797 0x4621     1   -37.8/ -37.8   -37.7/ -37.7   -36.8/ -36.8   -37.6/ -37.6
  798 0x4620     1   -41.2/ -41.2   -40.8/ -40.8   -40.6/ -40.6   -41.1/ -41.1
  799 0x4621     1   -37.2/ -37.2   -37.3/ -37.3   -36.5/ -36.5   -37.2/ -37.2
  800 0x4620     1   -41.2/ -41.2   -40.8/ -40.8   -41.6/ -41.6   -40.8/ -40.8
  801 0x4621     1   -38.4/ -38.4   -36.8/ -36.8   -37.4/ -37.4   -37.0/ -37.0
  802 0x4620     1   -40.4/ -40.4   -40.9/ -40.9   -39.5/ -39.5   -41.0/ -41.0
  803 0x4621     1   -38.2/ -38.2   -37.6/ -37.6   -35.4/ -35.4   -38.0/ -38.0
  804 0x4620     1   -41.1/ -41.1   -40.9/ -40.9   -41.0/ -41.0   -40.4/ -40.4
  805 0x4621     1   -37.8/ -37.8   -38.1/ -38.1   -35.7/ -35.7   -36.5/ -36.5
  806 0x4620     1   -41.0/ -41.0   -39.6/ -39.6   -40.2/ -40.2   -41.0/ -41.0
  807 0x4621     1   -37.3/ -37.3   -36.7/ -36.7   -36.2/ -36.2   -36.7/ -36.7
  808 0x4620     1   -42.0/ -42.0   -39.9/ -39.9   -41.8/ -41.8   -41.5/ -41.5
  809 0x4621     1   -37.8/ -37.8   -37.9/ -37.9   -36.2/ -36.2   -37.3/ -37.3
  810 0x4620     1   -41.6/ -41.6   -40.5/ -40.5   -40.2/ -40.2   -41.3/ -41.3
  811 0x4621     1   -36.7/ -36.7   -37.1/ -37.1   -36.7/ -36.7   -35.8/ -35.8
  812 0x4620     1   -40.9/ -40.9   -41.2/ -41.2   -40.8/ -40.8   -41.1/ -41.1
  813 0x4621     1   -36.5/ -36.5   -36.7/ -36.7   -36.7/ -36.7   -37.0/ -37.0
  814 0x4620     1   -41.4/ -41.4   -41.0/ -41.0   -41.2/ -41.2   -40.1/ -40.1
  815 0x4621     1   -36.5/ -36.5   -36.1/ -36.1   -36.2/ -36.2   -37.4/ -37.4
  816 0x4620     1   -40.8/ -40.8   -41.6/ -41.6   -40.8/ -40.8   -40.9/ -40.9
  817 0x4621     1   -35.4/ -35.4   -35.9/ -35.9   -36.3/ -36.3   -37.5/ -37.5
  818 0x4620     1   -40.5/ -40.5   -42.1/ -42.1   -41.1/ -41.1   -40.6/ -40.6
  819 0x4621     1   -34.8/ -34.8   -35.5/ -35.5   -36.1/ -36.1   -37.8/ -37.8
  820 0x4620     1   -40.9/ -40.9   -40.4/ -40.4   -40.5/ -40.5   -40.7/ -40.7
  821 0x4621     1   -35.2/ -35.2   -35.4/ -35.4   -36.4/ -36.4   -36.9/ -36.9
  822 0x4620     1   -41.3/ -41.3   -41.2/ -41.2   -42.0/ -42.0   -40.4/ -40.4
  823 0x4621   184   -37.1/ -35.8   -36.8/ -35.4   -36.3/ -34.8   -37.1/ -35.8
  824 0x4622   110   -38.4/ -37.2   -38.0/ -36.4   -37.9/ -36.4   -38.5/ -37.2
  825 0x4623    16   -41.1/ -40.6   -40.7/ -40.5   -40.2/ -39.6   -41.4/ -40.8
  826 0x4624   105   -41.0/ -40.4   -40.8/ -40.1   -40.6/ -39.8   -40.9/ -40.1
  827 0x4625   107   -41.1/ -40.4   -40.8/ -40.1   -40.3/ -39.1   -41.1/ -40.3
  828 0x4627   107   -41.0/ -40.4   -41.0/ -40.3   -40.7/ -40.1   -41.1/ -40.4
  829 0x4628    97   -41.1/ -40.4   -40.9/ -40.3   -40.2/ -39.2   -41.1/ -40.4
  830 0x4629   101   -41.2/ -40.5   -41.1/ -40.5   -40.7/ -40.2   -41.1/ -40.4
